dtype,name,m,n,k,swap_ab,block_m,block_n,cluster
fp8,fused_qkv_a,1,2112,7168,0,32,16,1x1
fp8,fused_qkv_a,4,2112,7168,0,32,16,1x1
fp8,fused_qkv_a,8,2112,7168,0,32,16,1x1
fp8,fused_qkv_a,16,2112,7168,0,32,16,1x1
fp8,fused_qkv_a,64,2112,7168,0,64,16,1x1
fp8,fused_qkv_a,128,2112,7168,1,16,128,1x1
fp8,q_b_proj,1,3072,1536,1,16,128,1x2
fp8,q_b_proj,4,3072,1536,1,16,128,1x2
fp8,q_b_proj,8,3072,1536,1,16,128,1x2
fp8,q_b_proj,16,3072,1536,1,16,128,1x2
fp8,q_b_proj,64,3072,1536,1,16,128,1x2
fp8,q_b_proj,128,3072,1536,1,32,128,1x2
fp8,o_proj,1,7168,2048,1,16,128,1x2
fp8,o_proj,4,7168,2048,1,16,128,1x2
fp8,o_proj,8,7168,2048,1,16,128,1x2
fp8,o_proj,16,7168,2048,1,16,128,1x2
fp8,o_proj,64,7168,2048,1,32,128,1x2
fp8,o_proj,128,7168,2048,1,64,128,1x2
fp8,indexer_wq_b,1,8192,1536,1,16,128,1x2
fp8,indexer_wq_b,4,8192,1536,1,16,128,1x2
fp8,indexer_wq_b,8,8192,1536,1,16,128,1x2
fp8,indexer_wq_b,16,8192,1536,1,16,128,1x2
fp8,indexer_wq_b,64,8192,1536,1,32,128,1x2
fp8,indexer_wq_b,128,8192,1536,1,64,128,1x2
fp8,indexer_wk_wproj,1,192,7168,1,16,128,1x2
fp8,indexer_wk_wproj,4,192,7168,1,16,128,1x2
fp8,indexer_wk_wproj,8,192,7168,1,16,128,1x2
fp8,indexer_wk_wproj,16,192,7168,1,16,128,1x2
fp8,indexer_wk_wproj,64,192,7168,1,16,128,1x2
fp8,indexer_wk_wproj,128,192,7168,1,16,128,1x2
fp8,dense_mlp_gate_up,1,4608,7168,1,16,128,1x2
fp8,dense_mlp_gate_up,4,4608,7168,1,16,128,1x2
fp8,dense_mlp_gate_up,8,4608,7168,1,16,128,1x2
fp8,dense_mlp_gate_up,16,4608,7168,1,16,128,1x2
fp8,dense_mlp_gate_up,64,4608,7168,1,16,128,1x2
fp8,dense_mlp_gate_up,128,4608,7168,1,32,128,1x2
fp8,dense_mlp_down,1,7168,2304,1,16,128,1x2
fp8,dense_mlp_down,4,7168,2304,1,16,128,1x2
fp8,dense_mlp_down,8,7168,2304,1,16,128,1x2
fp8,dense_mlp_down,16,7168,2304,1,16,128,1x2
fp8,dense_mlp_down,64,7168,2304,1,32,128,1x2
fp8,dense_mlp_down,128,7168,2304,1,64,128,1x2
fp8,shared_expert_gate_up,1,4096,7168,1,16,128,1x2
fp8,shared_expert_gate_up,4,4096,7168,1,16,128,1x2
fp8,shared_expert_gate_up,8,4096,7168,1,16,128,1x2
fp8,shared_expert_gate_up,16,4096,7168,1,16,128,1x2
fp8,shared_expert_gate_up,64,4096,7168,1,16,128,1x2
fp8,shared_expert_gate_up,128,4096,7168,1,32,128,1x2
fp8,kv_b_proj,1,4096,512,1,16,128,1x2
fp8,kv_b_proj,4,4096,512,1,16,128,1x2
fp8,kv_b_proj,8,4096,512,1,16,128,1x2
fp8,kv_b_proj,16,4096,512,1,16,128,1x2
fp8,kv_b_proj,64,4096,512,1,16,128,1x2
fp8,kv_b_proj,128,4096,512,1,32,128,1x2
fp8,lm_head,1,16160,7168,1,16,128,1x1
fp8,lm_head,4,16160,7168,1,16,128,1x1
fp8,lm_head,8,16160,7168,1,16,128,1x1
fp8,lm_head,16,16160,7168,1,16,128,1x1
fp8,lm_head,64,16160,7168,0,64,128,1x1
fp8,lm_head,128,16160,7168,0,128,128,1x1
fp8,mtp_eh_proj,1,7168,14336,1,16,128,1x2
fp8,mtp_eh_proj,4,7168,14336,1,16,128,1x2
fp8,mtp_eh_proj,8,7168,14336,1,16,128,1x2
fp8,mtp_eh_proj,16,7168,14336,1,16,128,1x2
fp8,mtp_eh_proj,64,7168,14336,1,32,128,1x2
fp8,mtp_eh_proj,128,7168,14336,1,64,128,1x2
fp8,q_b_proj_tp1,1,24576,1536,0,32,192,1x1
