kind,dtype,name,m_or_expected_m,n,k,groups,mode,time_us,tflops,gbps,diff,status
dense,bf16,fused_qkv_a,1,2112,7168,1,swap_on,14.946,2.0,2027.0,0.000000,ok
dense,bf16,fused_qkv_a,1,2112,7168,1,swap_off,16.574,1.8,1827.9,0.000000,ok
dense,bf16,fused_qkv_a,4,2112,7168,1,swap_on,14.851,8.2,2043.7,0.000000,ok
dense,bf16,fused_qkv_a,4,2112,7168,1,swap_off,16.141,7.5,1880.5,0.000000,ok
dense,bf16,fused_qkv_a,8,2112,7168,1,swap_on,14.062,17.2,2163.6,0.000000,ok
dense,bf16,fused_qkv_a,8,2112,7168,1,swap_off,13.822,17.5,2201.4,0.000000,ok
dense,bf16,fused_qkv_a,16,2112,7168,1,swap_on,13.775,35.2,2219.5,0.000000,ok
dense,bf16,fused_qkv_a,16,2112,7168,1,swap_off,12.857,37.7,2378.1,0.000000,ok
dense,bf16,fused_qkv_a,64,2112,7168,1,swap_on,12.827,151.1,2453.1,0.000000,ok
dense,bf16,fused_qkv_a,64,2112,7168,1,swap_off,12.414,156.1,2534.7,0.000000,ok
dense,bf16,fused_qkv_a,128,2112,7168,1,swap_on,13.200,293.6,2473.6,0.000000,ok
dense,bf16,fused_qkv_a,128,2112,7168,1,swap_off,13.282,291.8,2458.5,0.000000,ok
dense,bf16,q_b_proj,1,3072,1536,1,swap_on,5.025,1.9,1879.9,0.000000,ok
dense,bf16,q_b_proj,1,3072,1536,1,swap_off,5.143,1.8,1836.7,0.000000,ok
dense,bf16,q_b_proj,4,3072,1536,1,swap_on,5.022,7.5,1886.5,0.000000,ok
dense,bf16,q_b_proj,4,3072,1536,1,swap_off,5.424,7.0,1746.7,0.000000,ok
dense,bf16,q_b_proj,8,3072,1536,1,swap_on,5.024,15.0,1892.9,0.000000,ok
dense,bf16,q_b_proj,8,3072,1536,1,swap_off,5.056,14.9,1881.1,0.000000,ok
dense,bf16,q_b_proj,16,3072,1536,1,swap_on,5.026,30.0,1907.0,0.000000,ok
