kind,dtype,name,m_or_expected_m,n,k,groups,mode,time_us,tflops,gbps,diff,status
dense,bf16,fused_qkv_a,1,2112,7168,1,swap_on,16.320,1.9,1856.4,0.000000,ok
dense,bf16,fused_qkv_a,1,2112,7168,1,swap_off,17.966,1.7,1686.3,0.000000,ok
dense,bf16,fused_qkv_a,4,2112,7168,1,swap_on,16.176,7.5,1876.4,0.000000,ok
dense,bf16,fused_qkv_a,4,2112,7168,1,swap_off,17.921,6.8,1693.7,0.000000,ok
dense,bf16,fused_qkv_a,8,2112,7168,1,swap_on,15.988,15.2,1903.1,0.000000,ok
dense,bf16,fused_qkv_a,8,2112,7168,1,swap_off,16.099,15.0,1889.9,0.000000,ok
dense,bf16,fused_qkv_a,16,2112,7168,1,swap_on,16.032,30.2,1907.2,0.000000,ok
dense,bf16,fused_qkv_a,16,2112,7168,1,swap_off,15.360,31.5,1990.5,0.000000,ok
dense,bf16,fused_qkv_a,64,2112,7168,1,swap_on,15.984,121.2,1968.6,0.000000,ok
dense,bf16,fused_qkv_a,64,2112,7168,1,swap_off,14.673,132.1,2144.5,0.000000,ok
dense,bf16,fused_qkv_a,128,2112,7168,1,swap_on,16.288,237.9,2004.8,0.000000,ok
dense,bf16,fused_qkv_a,128,2112,7168,1,swap_off,15.841,244.7,2061.3,0.000000,ok
dense,bf16,q_b_proj,1,3072,1536,1,swap_on,7.120,1.3,1326.8,0.000000,ok
dense,bf16,q_b_proj,1,3072,1536,1,swap_off,7.136,1.3,1323.8,0.000000,ok
dense,bf16,q_b_proj,4,3072,1536,1,swap_on,7.168,5.3,1321.7,0.000000,ok
dense,bf16,q_b_proj,4,3072,1536,1,swap_off,7.008,5.4,1351.9,0.000000,ok
dense,bf16,q_b_proj,8,3072,1536,1,swap_on,7.168,10.5,1326.9,0.000000,ok
dense,bf16,q_b_proj,8,3072,1536,1,swap_off,7.152,10.6,1329.8,0.000000,ok
dense,bf16,q_b_proj,16,3072,1536,1,swap_on,7.168,21.1,1337.1,0.000000,ok
dense,bf16,q_b_proj,16,3072,1536,1,swap_off,7.072,21.4,1355.3,0.000000,ok
dense,bf16,q_b_proj,64,3072,1536,1,swap_on,7.279,83.0,1377.4,0.000000,ok
dense,bf16,q_b_proj,64,3072,1536,1,swap_off,6.800,88.8,1474.6,0.000000,ok
dense,bf16,q_b_proj,128,3072,1536,1,swap_on,7.408,163.1,1433.2,0.000000,ok
dense,bf16,q_b_proj,128,3072,1536,1,swap_off,7.056,171.2,1504.7,0.000000,ok
dense,bf16,o_proj,1,7168,2048,1,swap_on,10.000,2.9,2937.9,0.000000,ok
dense,bf16,o_proj,1,7168,2048,1,swap_off,10.864,2.7,2704.2,0.000000,ok
dense,bf16,o_proj,4,7168,2048,1,swap_on,9.968,11.8,2952.8,0.000000,ok
dense,bf16,o_proj,4,7168,2048,1,swap_off,11.360,10.3,2591.0,0.000000,ok
dense,bf16,o_proj,8,7168,2048,1,swap_on,10.048,23.4,2936.7,0.000000,ok
dense,bf16,o_proj,8,7168,2048,1,swap_off,10.528,22.3,2802.8,0.000000,ok
dense,bf16,o_proj,16,7168,2048,1,swap_on,10.016,46.9,2960.8,0.000000,ok
dense,bf16,o_proj,16,7168,2048,1,swap_off,10.720,43.8,2766.3,0.000000,ok
dense,bf16,o_proj,64,7168,2048,1,swap_on,10.640,176.6,2870.3,0.000000,ok
dense,bf16,o_proj,64,7168,2048,1,swap_off,10.017,187.6,3048.9,0.000000,ok
dense,bf16,o_proj,128,7168,2048,1,swap_on,11.440,328.5,2772.7,0.000000,ok
dense,bf16,o_proj,128,7168,2048,1,swap_off,11.104,338.4,2856.6,0.000000,ok
dense,bf16,indexer_wq_b,1,8192,1536,1,swap_on,9.375,2.7,2686.4,0.000000,ok
dense,bf16,indexer_wq_b,1,8192,1536,1,swap_off,9.488,2.7,2654.4,0.000000,ok
dense,bf16,indexer_wq_b,4,8192,1536,1,swap_on,9.280,10.8,2720.2,0.000000,ok
dense,bf16,indexer_wq_b,4,8192,1536,1,swap_off,9.536,10.6,2647.2,0.000000,ok
dense,bf16,indexer_wq_b,8,8192,1536,1,swap_on,9.248,21.8,2738.0,0.000000,ok
dense,bf16,indexer_wq_b,8,8192,1536,1,swap_off,9.456,21.3,2677.8,0.000000,ok
dense,bf16,indexer_wq_b,16,8192,1536,1,swap_on,9.280,43.4,2745.4,0.000000,ok
dense,bf16,indexer_wq_b,16,8192,1536,1,swap_off,9.617,41.9,2649.3,0.000000,ok
dense,bf16,indexer_wq_b,64,8192,1536,1,swap_on,9.824,163.9,2688.4,0.000000,ok
dense,bf16,indexer_wq_b,64,8192,1536,1,swap_off,9.056,177.9,2916.4,0.000000,ok
dense,bf16,indexer_wq_b,128,8192,1536,1,swap_on,10.224,315.1,2705.0,0.000000,ok
dense,bf16,indexer_wq_b,128,8192,1536,1,swap_off,9.632,334.4,2871.3,0.000000,ok
dense,bf16,indexer_wk_wproj,1,192,7168,1,swap_on,13.920,0.2,198.8,0.000000,ok
dense,bf16,indexer_wk_wproj,1,192,7168,1,swap_off,13.408,0.2,206.4,0.000000,ok
dense,bf16,indexer_wk_wproj,4,192,7168,1,swap_on,13.905,0.8,202.2,0.000000,ok
dense,bf16,indexer_wk_wproj,4,192,7168,1,swap_off,13.408,0.8,209.7,0.000000,ok
dense,bf16,indexer_wk_wproj,8,192,7168,1,swap_on,13.920,1.6,206.2,0.000000,ok
dense,bf16,indexer_wk_wproj,8,192,7168,1,swap_off,13.328,1.7,215.4,0.000000,ok
dense,bf16,indexer_wk_wproj,16,192,7168,1,swap_on,13.920,3.2,214.7,0.000000,ok
dense,bf16,indexer_wk_wproj,16,192,7168,1,swap_off,13.296,3.3,224.7,0.000000,ok
