kind,dtype,name,m_or_expected_m,n,k,groups,mode,time_us,tflops,gbps,diff,status
dense,fp8,fused_qkv_a,1,2112,7168,1,swap_on,9.440,3.2,1617.4,0.000699,ok
dense,fp8,fused_qkv_a,1,2112,7168,1,swap_off,9.791,3.1,1559.4,0.000699,ok
dense,fp8,fused_qkv_a,4,2112,7168,1,swap_on,8.960,13.5,1707.9,0.000699,ok
dense,fp8,fused_qkv_a,4,2112,7168,1,swap_off,9.216,13.1,1660.5,0.000699,ok
dense,fp8,fused_qkv_a,8,2112,7168,1,swap_on,8.864,27.3,1731.6,0.000700,ok
dense,fp8,fused_qkv_a,8,2112,7168,1,swap_off,8.768,27.6,1750.5,0.000700,ok
dense,fp8,fused_qkv_a,16,2112,7168,1,swap_on,8.656,56.0,1783.8,0.000696,ok
dense,fp8,fused_qkv_a,16,2112,7168,1,swap_off,8.032,60.3,1922.3,0.000696,ok
dense,fp8,fused_qkv_a,64,2112,7168,1,swap_on,7.872,246.2,2031.2,0.000709,ok
dense,fp8,fused_qkv_a,64,2112,7168,1,swap_off,7.936,244.2,2014.8,0.000709,ok
dense,fp8,fused_qkv_a,128,2112,7168,1,swap_on,8.096,478.7,2065.5,0.000713,ok
dense,fp8,fused_qkv_a,128,2112,7168,1,swap_off,8.351,464.1,2002.4,0.000713,ok
dense,fp8,q_b_proj,1,3072,1536,1,swap_on,4.192,2.3,1136.2,0.000735,ok
dense,fp8,q_b_proj,1,3072,1536,1,swap_off,4.338,2.2,1098.1,0.000735,ok
dense,fp8,q_b_proj,4,3072,1536,1,swap_on,4.191,9.0,1142.0,0.000715,ok
dense,fp8,q_b_proj,4,3072,1536,1,swap_off,4.449,8.5,1075.8,0.000715,ok
dense,fp8,q_b_proj,8,3072,1536,1,swap_on,4.192,18.0,1149.1,0.000716,ok
dense,fp8,q_b_proj,8,3072,1536,1,swap_off,4.224,17.9,1140.4,0.000716,ok
dense,fp8,q_b_proj,16,3072,1536,1,swap_on,4.194,36.0,1163.2,0.000717,ok
dense,fp8,q_b_proj,16,3072,1536,1,swap_off,3.969,38.0,1229.2,0.000717,ok
dense,fp8,q_b_proj,64,3072,1536,1,swap_on,4.384,137.8,1197.0,0.000705,ok
dense,fp8,q_b_proj,64,3072,1536,1,swap_off,3.905,154.7,1343.9,0.000705,ok
dense,fp8,q_b_proj,128,3072,1536,1,swap_on,4.606,262.3,1246.3,0.000708,ok
dense,fp8,q_b_proj,128,3072,1536,1,swap_off,4.021,300.4,1427.5,0.000708,ok
dense,fp8,o_proj,1,7168,2048,1,swap_on,4.993,5.9,2966.4,0.000740,ok
dense,fp8,o_proj,1,7168,2048,1,swap_off,5.726,5.1,2586.6,0.000740,ok
dense,fp8,o_proj,4,7168,2048,1,swap_on,4.864,24.1,3055.2,0.000708,ok
