kind,dtype,name,m_or_expected_m,n,k,groups,mode,time_us,tflops,gbps,diff,status
dense,fp8,fused_qkv_a,1,2112,7168,1,swap_on,10.560,2.9,1445.9,0.000699,ok
dense,fp8,fused_qkv_a,1,2112,7168,1,swap_off,10.847,2.8,1407.6,0.000699,ok
dense,fp8,fused_qkv_a,4,2112,7168,1,swap_on,10.560,11.5,1449.1,0.000699,ok
dense,fp8,fused_qkv_a,4,2112,7168,1,swap_off,10.321,11.7,1482.7,0.000699,ok
dense,fp8,fused_qkv_a,8,2112,7168,1,swap_on,10.560,22.9,1453.5,0.000700,ok
dense,fp8,fused_qkv_a,8,2112,7168,1,swap_off,10.047,24.1,1527.7,0.000700,ok
dense,fp8,fused_qkv_a,16,2112,7168,1,swap_on,10.511,46.1,1468.9,0.000696,ok
dense,fp8,fused_qkv_a,16,2112,7168,1,swap_off,9.857,49.1,1566.4,0.000696,ok
dense,fp8,fused_qkv_a,64,2112,7168,1,swap_on,10.656,181.8,1500.5,0.000709,ok
dense,fp8,fused_qkv_a,64,2112,7168,1,swap_off,9.759,198.6,1638.5,0.000709,ok
dense,fp8,fused_qkv_a,128,2112,7168,1,swap_on,10.720,361.5,1559.9,0.000713,ok
dense,fp8,fused_qkv_a,128,2112,7168,1,swap_off,10.687,362.6,1564.7,0.000713,ok
dense,fp8,q_b_proj,1,3072,1536,1,swap_on,5.760,1.6,826.9,0.000735,ok
dense,fp8,q_b_proj,1,3072,1536,1,swap_off,5.551,1.7,858.0,0.000735,ok
dense,fp8,q_b_proj,4,3072,1536,1,swap_on,5.792,6.5,826.4,0.000715,ok
dense,fp8,q_b_proj,4,3072,1536,1,swap_off,5.568,6.8,859.6,0.000715,ok
dense,fp8,q_b_proj,8,3072,1536,1,swap_on,5.728,13.2,841.0,0.000716,ok
dense,fp8,q_b_proj,8,3072,1536,1,swap_off,5.584,13.5,862.6,0.000716,ok
dense,fp8,q_b_proj,16,3072,1536,1,swap_on,5.792,26.1,842.3,0.000717,ok
dense,fp8,q_b_proj,16,3072,1536,1,swap_off,5.648,26.7,863.8,0.000717,ok
dense,fp8,q_b_proj,64,3072,1536,1,swap_on,5.760,104.9,911.1,0.000705,ok
dense,fp8,q_b_proj,64,3072,1536,1,swap_off,5.583,108.2,939.9,0.000705,ok
dense,fp8,q_b_proj,128,3072,1536,1,swap_on,5.984,201.9,959.2,0.000708,ok
dense,fp8,q_b_proj,128,3072,1536,1,swap_off,5.504,219.5,1042.9,0.000708,ok
dense,fp8,o_proj,1,7168,2048,1,swap_on,7.520,3.9,1969.6,0.000740,ok
dense,fp8,o_proj,1,7168,2048,1,swap_off,7.648,3.8,1936.6,0.000740,ok
dense,fp8,o_proj,4,7168,2048,1,swap_on,7.488,15.7,1984.6,0.000708,ok
dense,fp8,o_proj,4,7168,2048,1,swap_off,7.584,15.5,1959.4,0.000708,ok
dense,fp8,o_proj,8,7168,2048,1,swap_on,7.456,31.5,2001.9,0.000711,ok
dense,fp8,o_proj,8,7168,2048,1,swap_off,7.681,30.6,1943.2,0.000711,ok
dense,fp8,o_proj,16,7168,2048,1,swap_on,7.488,62.7,2010.8,0.000713,ok
dense,fp8,o_proj,16,7168,2048,1,swap_off,7.552,62.2,1993.8,0.000713,ok
dense,fp8,o_proj,64,7168,2048,1,swap_on,7.647,245.7,2072.0,0.000712,ok
dense,fp8,o_proj,64,7168,2048,1,swap_off,7.248,259.3,2186.2,0.000712,ok
dense,fp8,o_proj,128,7168,2048,1,swap_on,8.288,453.4,2038.4,0.000713,ok
dense,fp8,o_proj,128,7168,2048,1,swap_off,8.256,455.2,2046.3,0.000713,ok
dense,fp8,indexer_wq_b,1,8192,1536,1,swap_on,6.880,3.7,1845.9,0.000721,ok
dense,fp8,indexer_wq_b,1,8192,1536,1,swap_off,7.040,3.6,1803.9,0.000721,ok
dense,fp8,indexer_wq_b,4,8192,1536,1,swap_on,7.056,14.3,1807.4,0.000715,ok
dense,fp8,indexer_wq_b,4,8192,1536,1,swap_off,7.264,13.9,1755.6,0.000715,ok
dense,fp8,indexer_wq_b,8,8192,1536,1,swap_on,6.880,29.3,1864.1,0.000712,ok
dense,fp8,indexer_wq_b,8,8192,1536,1,swap_off,7.088,28.4,1809.5,0.000712,ok
dense,fp8,indexer_wq_b,16,8192,1536,1,swap_on,6.913,58.2,1875.9,0.000713,ok
dense,fp8,indexer_wq_b,16,8192,1536,1,swap_off,6.913,58.3,1876.0,0.000713,ok
dense,fp8,indexer_wq_b,64,8192,1536,1,swap_on,7.296,220.8,1895.4,0.000709,ok
dense,fp8,indexer_wq_b,64,8192,1536,1,swap_off,6.704,240.2,2062.8,0.000709,ok
dense,fp8,indexer_wq_b,128,8192,1536,1,swap_on,7.584,424.7,1974.8,0.000710,ok
dense,fp8,indexer_wq_b,128,8192,1536,1,swap_off,7.136,451.4,2098.7,0.000710,ok
dense,fp8,indexer_wk_wproj,1,192,7168,1,swap_on,9.456,0.3,147.5,0.000817,ok
dense,fp8,indexer_wk_wproj,1,192,7168,1,swap_off,8.384,0.3,166.3,0.000817,ok
dense,fp8,indexer_wk_wproj,4,192,7168,1,swap_on,9.488,1.2,149.4,0.000704,ok
dense,fp8,indexer_wk_wproj,4,192,7168,1,swap_off,8.384,1.3,169.1,0.000704,ok
dense,fp8,indexer_wk_wproj,8,192,7168,1,swap_on,9.504,2.3,152.3,0.000690,ok
dense,fp8,indexer_wk_wproj,8,192,7168,1,swap_off,8.383,2.6,172.7,0.000690,ok
dense,fp8,indexer_wk_wproj,16,192,7168,1,swap_on,9.536,4.6,158.2,0.000709,ok
dense,fp8,indexer_wk_wproj,16,192,7168,1,swap_off,8.384,5.3,179.9,0.000709,ok
dense,fp8,indexer_wk_wproj,64,192,7168,1,swap_on,9.312,18.9,201.2,0.000707,ok
dense,fp8,indexer_wk_wproj,64,192,7168,1,swap_off,8.192,21.5,228.8,0.000707,ok
dense,fp8,indexer_wk_wproj,128,192,7168,1,swap_on,9.024,39.0,261.6,0.000709,ok
dense,fp8,indexer_wk_wproj,128,192,7168,1,swap_off,9.152,38.5,258.0,0.000709,ok
dense,fp8,dense_mlp_gate_up,1,4608,7168,1,swap_on,12.864,5.1,2589.0,0.000697,ok
dense,fp8,dense_mlp_gate_up,1,4608,7168,1,swap_off,13.056,5.1,2550.9,0.000697,ok
dense,fp8,dense_mlp_gate_up,4,4608,7168,1,swap_on,12.833,20.6,2599.1,0.000715,ok
dense,fp8,dense_mlp_gate_up,4,4608,7168,1,swap_off,13.200,20.0,2526.8,0.000715,ok
dense,fp8,dense_mlp_gate_up,8,4608,7168,1,swap_on,12.865,41.1,2597.8,0.000716,ok
dense,fp8,dense_mlp_gate_up,8,4608,7168,1,swap_off,12.417,42.6,2691.4,0.000716,ok
dense,fp8,dense_mlp_gate_up,16,4608,7168,1,swap_on,12.928,81.8,2595.1,0.000705,ok
dense,fp8,dense_mlp_gate_up,16,4608,7168,1,swap_off,12.352,85.6,2716.3,0.000705,ok
dense,fp8,dense_mlp_gate_up,64,4608,7168,1,swap_on,14.001,302.0,2452.7,0.000709,ok
dense,fp8,dense_mlp_gate_up,64,4608,7168,1,swap_off,11.695,361.5,2936.2,0.000709,ok
dense,fp8,dense_mlp_gate_up,128,4608,7168,1,swap_on,14.431,585.9,2452.4,0.000713,ok
dense,fp8,dense_mlp_gate_up,128,4608,7168,1,swap_off,13.040,648.4,2714.1,0.000713,ok
dense,fp8,dense_mlp_down,1,7168,2304,1,swap_on,7.840,4.2,2126.9,0.000682,ok
dense,fp8,dense_mlp_down,1,7168,2304,1,swap_off,8.655,3.8,1926.5,0.000682,ok
dense,fp8,dense_mlp_down,4,7168,2304,1,swap_on,7.872,16.8,2124.6,0.000699,ok
dense,fp8,dense_mlp_down,4,7168,2304,1,swap_off,8.096,16.3,2065.8,0.000699,ok
dense,fp8,dense_mlp_down,8,7168,2304,1,swap_on,7.841,33.7,2141.7,0.000706,ok
dense,fp8,dense_mlp_down,8,7168,2304,1,swap_off,8.096,32.6,2074.1,0.000706,ok
dense,fp8,dense_mlp_down,16,7168,2304,1,swap_on,7.840,67.4,2158.8,0.000713,ok
dense,fp8,dense_mlp_down,16,7168,2304,1,swap_off,7.984,66.2,2119.9,0.000713,ok
dense,fp8,dense_mlp_down,64,7168,2304,1,swap_on,8.208,257.5,2159.4,0.000714,ok
dense,fp8,dense_mlp_down,64,7168,2304,1,swap_off,7.616,277.6,2327.3,0.000714,ok
dense,fp8,dense_mlp_down,128,7168,2304,1,swap_on,8.720,484.8,2154.9,0.000713,ok
dense,fp8,dense_mlp_down,128,7168,2304,1,swap_off,8.561,493.9,2194.9,0.000713,ok
dense,fp8,shared_expert_gate_up,1,4096,7168,1,swap_on,12.384,4.7,2390.6,0.000708,ok
dense,fp8,shared_expert_gate_up,1,4096,7168,1,swap_off,12.321,4.8,2402.8,0.000708,ok
dense,fp8,shared_expert_gate_up,4,4096,7168,1,swap_on,12.352,19.0,2400.5,0.000718,ok
dense,fp8,shared_expert_gate_up,4,4096,7168,1,swap_off,12.544,18.7,2363.7,0.000718,ok
dense,fp8,shared_expert_gate_up,8,4096,7168,1,swap_on,12.352,38.0,2405.5,0.000717,ok
dense,fp8,shared_expert_gate_up,8,4096,7168,1,swap_off,12.400,37.9,2396.2,0.000717,ok
dense,fp8,shared_expert_gate_up,16,4096,7168,1,swap_on,12.416,75.7,2403.0,0.000705,ok
dense,fp8,shared_expert_gate_up,16,4096,7168,1,swap_off,11.408,82.4,2615.4,0.000705,ok
dense,fp8,shared_expert_gate_up,64,4096,7168,1,swap_on,13.136,286.1,2327.6,0.000710,ok
dense,fp8,shared_expert_gate_up,64,4096,7168,1,swap_off,11.104,338.4,2753.6,0.000710,ok
dense,fp8,shared_expert_gate_up,128,4096,7168,1,swap_on,13.728,547.5,2299.2,0.000712,ok
dense,fp8,shared_expert_gate_up,128,4096,7168,1,swap_off,12.719,590.9,2481.5,0.000712,ok
dense,fp8,kv_b_proj,1,4096,512,1,swap_on,4.512,0.9,470.4,0.000746,ok
dense,fp8,kv_b_proj,1,4096,512,1,swap_off,4.352,1.0,487.6,0.000746,ok
dense,fp8,kv_b_proj,4,4096,512,1,swap_on,4.528,3.7,474.4,0.000736,ok
dense,fp8,kv_b_proj,4,4096,512,1,swap_off,4.384,3.8,490.0,0.000736,ok
dense,fp8,kv_b_proj,8,4096,512,1,swap_on,4.512,7.4,483.9,0.000725,ok
dense,fp8,kv_b_proj,8,4096,512,1,swap_off,4.448,7.5,490.8,0.000725,ok
dense,fp8,kv_b_proj,16,4096,512,1,swap_on,4.559,14.7,494.1,0.000714,ok
dense,fp8,kv_b_proj,16,4096,512,1,swap_off,4.304,15.6,523.4,0.000714,ok
dense,fp8,kv_b_proj,64,4096,512,1,swap_on,4.576,58.7,583.7,0.000714,ok
dense,fp8,kv_b_proj,64,4096,512,1,swap_off,4.321,62.1,618.2,0.000714,ok
dense,fp8,kv_b_proj,128,4096,512,1,swap_on,4.736,113.4,681.6,0.000713,ok
dense,fp8,kv_b_proj,128,4096,512,1,swap_off,4.352,123.4,741.8,0.000713,ok
dense,fp8,lm_head,1,16160,7168,1,swap_on,27.360,8.5,4268.2,0.000720,ok
dense,fp8,lm_head,1,16160,7168,1,swap_off,28.847,8.0,4048.2,0.000720,ok
dense,fp8,lm_head,4,16160,7168,1,swap_on,27.344,33.9,4275.1,0.000722,ok
dense,fp8,lm_head,4,16160,7168,1,swap_off,27.855,33.3,4196.7,0.000722,ok
dense,fp8,lm_head,8,16160,7168,1,swap_on,27.281,67.9,4290.8,0.000719,ok
dense,fp8,lm_head,8,16160,7168,1,swap_off,28.095,66.0,4166.4,0.000719,ok
dense,fp8,lm_head,16,16160,7168,1,swap_on,27.184,136.4,4317.6,0.000711,ok
dense,fp8,lm_head,16,16160,7168,1,swap_off,27.968,132.5,4196.7,0.000711,ok
dense,fp8,lm_head,64,16160,7168,1,swap_on,28.654,517.4,4162.4,0.000713,ok
dense,fp8,lm_head,64,16160,7168,1,swap_off,28.382,522.4,4202.3,0.000713,ok
dense,fp8,lm_head,128,16160,7168,1,swap_on,30.639,967.8,3975.4,0.000713,ok
dense,fp8,lm_head,128,16160,7168,1,swap_off,30.769,963.8,3958.6,0.000713,ok
dense,fp8,mtp_eh_proj,1,7168,14336,1,swap_on,28.447,7.2,3641.6,0.000721,ok
dense,fp8,mtp_eh_proj,1,7168,14336,1,swap_off,29.377,7.0,3526.4,0.000721,ok
dense,fp8,mtp_eh_proj,4,7168,14336,1,swap_on,28.352,29.0,3656.8,0.000723,ok
dense,fp8,mtp_eh_proj,4,7168,14336,1,swap_off,28.417,28.9,3648.5,0.000723,ok
dense,fp8,mtp_eh_proj,8,7168,14336,1,swap_on,28.448,57.8,3648.5,0.000713,ok
dense,fp8,mtp_eh_proj,8,7168,14336,1,swap_off,26.640,61.7,3896.1,0.000713,ok
dense,fp8,mtp_eh_proj,16,7168,14336,1,swap_on,28.335,116.0,3671.1,0.000716,ok
